Address,Balance
0xcF70C28a422328d3421d754C2E394583Af75EdA5,9000000000000000000
0x4739E247ac7CB2eF6B8E89ed8845352a256C3ca4,9000000000000000000
0x5578912e3e49a6262E6EBB0f0E5e41Dc49fD2b38,9000000000000000000
0x49204aFf37549889A57EB9A374d41c91c89aF359,9000000000000000000
0xbad4e4A066f4A2a7dE96a38dCf7584787ECe7723,9000000000000000000
0xf8F5718c509D378E6f9f50072c69b9a95c89A732,9000000000000000000
0x17b065fE0c3ed675f096c4807A6884EB3E71b5b5,9000000000000000000
0x52E9D8c7435e60cCc9d78d3539475843dB0422aC,9000000000000000000
0xbE562dB76d5B50447b2c0dB47BeE7cA678396b72,9000000000000000000
0x3f7460EF9721dCdFFfa03EFde3cDaAf73e1DFAF4,9000000000000000000
0x4f9e538242CA5f0Fb565c02944B9Df280598fD05,9000000000000000000
0x8C34C0307B18E221af30beeAB5437a651E3C9F75,9000000000000000000
0xBCCF0f2D7CB266cE6731A7e2f26DA2c5Dcc211a6,9000000000000000000
0x5DfB780c558C8B44eCA728E53c7bc79773AeA3BC,9000000000000000000
0x6265A45cd49342e7dDA9FB277Bc1856DA68293eb,9000000000000000000
0xAE5d0a18FB181055c302661C69Ca5673992A2121,9000000000000000000
0x5f2366139262aA26Af21AFBc1b06a1f9EcFc89bc,9000000000000000000
0x2F9a034ce9ecD9ACf74697198fF125183E7f7133,9000000000000000000
0x3f8396B954B0d7F8818583f1c09cBa90d6489Da0,9000000000000000000
0xA5B6B0F501aa7044532fAeca942E209892F53183,9000000000000000000
0x3dd5AF981AF685A6Aa3B73847645F8855D049f30,9000000000000000000
0x84C0551fFf00a23c52fE6FA4D01F94394c0ceC4C,9000000000000000000
0xC29B63529B37fC0A23F43DBA6AFAcF0370A359f0,9000000000000000000
0x5179f3F17db1895a8ba70C7131c0cD684f2D192F,9000000000000000000
0x0E75D20eDEb753c3c7b4bF82A8CaEb541E3a296f,9000000000000000000
0x239A829F00F8bC38eA8f7e642645Bb5C55313Cd8,9000000000000000000
0x1f20edcBe4bc84D8eA90B64Eb852ABC6De006445,9000000000000000000
0x6ba1C0fe52406ac12DE57d32b38Eb1016707D3C1,9000000000000000000
0x359C69ee57E0560B7BF80a9fc070A68278a2156A,9000000000000000000
0xe3661506F6f31a4c06f0b5a2621Ab264B213b665,9000000000000000000
0x276A7A1b7cdcB70c8950B697c4Ef78468e9753d8,9000000000000000000
0x559C4586baeeF86CB40D29d51D284A85f311dE22,9000000000000000000
0x6d06B0bb149015AeB788a016Ff4c7092E709E126,9000000000000000000
0xe7a37E0aC137852966ADb72fec717f0D73E101B6,9000000000000000000
0x63Fb8edbCC34F8a2f2d36c3F1e9bA1Cb0C2D1651,9000000000000000000
0xC0088ED8a407EfA166d5f7124A3d5aead2894564,9000000000000000000
